"Names","Description","Cleaned_Description","Cleaned_Name"
"30. Juan Sebastian Veron (Lazio to Manchester United, 2001)","Approx transfer fee: £28mManchester United paid a British record fee to sign Juan Sebastian Verón from Lazio in 2001, and it seemed like good business when he hit the ground running with three goals in his first four Premier League outings. But the pace of English football soon took its toll, and Verón's performances took a serious nosedive.""[Veron] is a f*cking great player, and you're all f*cking idiots,"" Sir Alex Ferguson - never one to back down - told the media. However, in 2003 but even SAF conceded defeat and allowed Verón to join Chelsea for half what United had paid Lazio two years before.The injury-riddled Argentine was no better at Stamford Bridge, making just seven Premier League appearances before returning to Italy.","approx transfer fee mmanchester unite pay british record fee sign juan sebastian ver<c3><b3>n lazio seem like good business hit grind run three goal first four premier league outing pace english football soon take toll ver<c3><b3>ns performance take serious nosediveveron fcking great player youre fcking idiot sir alex ferguson never one back tell medium however even saf concede defeat allow ver<c3><b3>n join chelsea half unite pay lazio two year beforethe injuryriddled argentine good stamford bridge make just seven premier league appearance return italy","juan sebastian veron lazio manchester unite"
"29. Dmytro Chygrynskiy (Shakhtar Donetsk to Barcelona, 2009)","Approx transfer fee: €25mRemember Dmytro Chygrynskiy? What do you mean, no??The biblical-looking Ukrainian defender kept Barcelona's formidable attack at bay for 115 minutes in the 2009 UEFA Super Cup, convincing Pep Guardiola to spend big to sign him from Shakhtar Donetsk as competition for Gerard Pique and Carles Puyol.Chygrynskiy played just 14 matches in all competitions for Barcelona, before returning to Shakhtar Donetsk at the end of the season.His name remains a bizarre footnote in an illustrious period of Barcelona's history.","approx transfer fee mremember dmytro chygrynskiy mean nothe biblicallooking ukrainian defender keep barcelonas formidable attack bay minute uefa super cup convince pep guardiola spend big sign shakhtar donetsk competition gerard pique carles puyolchygrynskiy play just match competition barcelona return shakhtar donetsk end seasonhis name remain bizarre footnote illustrious period barcelonas history","dmytro chygrynskiy shakhtar donetsk barcelona"
"28. Kaka (AC Milan to Real Madrid, 2009)","Approx transfer fee: €68.5mIt seems implausible that Kaka could ever appear on a worst list of anything. The boyish Brazilian was one of the finest players of his generation, a stylish attacking midfielder whose poise was matched by his power. He was the last player to win the Ballon d'Or before Lionel Messi and Cristiano Ronaldo's decade of dominance.Yet, despite becoming the world's most expensive footballer when he joined Real Madrid in 2009, it soon became evident that Kaka's best years were behind him. Injuries marred his first two years at the Bernabeu, during which time Mesut Ozil took his place in the team. Kaka was sold back to Milan in 2013 on what was essentially a free deal.It remains one of football's biggest ever transfer losses.","approx transfer fee mit seem implausible kaka ever appear bad list anything boyish brazilian one fine player generation stylish attack midfielder whose poise match power last player win ballon dor lionel messi cristiano ronaldos decade dominanceyet despite become world expensive footballer join real madrid soon become evident kakas good year behind injury mar first two year bernabeu time mesut ozil take place team kaka sell back milan essentially free dealit remain one football big ever transfer loss","kaka ac milan real madrid"
"27. Ricardo Quaresma (Porto to Inter, 2008)","Approx transfer fee: €19mRicardo Quaresma came through the ranks at Sporting CP around the same time as Cristiano Ronaldo, but their careers would take quite different paths. Quaresma joined Barcelona in 2003 but returned to Portugal with Porto just one year later, where he rediscovered his form in his home country, winning a move to Italy in 2008.But Quaresma's ability and attitude both came under the microscope at Inter, with Inter boss Jose Mourinho - famously not a great lover of temperamental forwards - questioning his team ethic. He was 'awarded' the infamous Bidone d'Oro (Golden Bin) award for worst Serie A player at the end of his debut season, and joined Besiktas after two unhappy years which yielded just one Inter goal.","approx transfer fee mricardo quaresma come rank sport cp around time cristiano ronaldo career take quite different path quaresma join barcelona return portugal porto just one year late rediscover form home country win move italy quaresmas ability attitude come microscope inter inter boss jose mourinho famously great lover temperamental forward question team ethic award infamous bidone doro golden bin award bad serie player end debut season join besiktas two unhappy year yield just one inter goal","ricardo quaresma porto inter"
"26. Eliaquim Mangala (Valencia to Manchester City, 2014)","Approx transfer fee: £42mWhat a summer 2014 was!A mind-boggling amount of money, Mangala could never live up to his price tag at the Etihad, but he might at least have given it a go...On his second league outing he scored an own goal and conceded a penalty to throw away a 2–0 lead against Hull, while a couple of months later he suffered his first sending off.Things never really recovered from there for one of the Premier League's most expensive ever defenders, who was replaced by Nicolas Otamendi and left on a free in 2019 after a couple of loan spells.","approx transfer fee mwhat summer wasa mindboggling amount money mangala never live price tag etihad may less give goon 2 league outing score goal concede penalty throw away lead hull couple month late suffer first send offthings never really recover one premier league expensive ever defender replace nicolas otamendi leave free couple loan spell","eliaquim mangala valencia manchester city"
"25. Leonardo Bonucci (Juventus to Milan, 2017)","Approx transfer fee: €42mIn an eye-catching summer of business that included the arrivals of Hakan Çalhanoğlu and Lucas Biglia, the signing of Bonucci from rivals Juve seemed like the most impressive of all.One of the world's best defenders was looking for a new challenge, after years of domestic (if not European) success in Turin.Things did not go to plan, and Milan - for all their spending - wound up finishing sixth, while Bonucci, who had been made Rossneri captain, spent the year with an expression that read 'I've made a huge mistake.' Back he went to Juve after just one year for the princely sum of one Mattia Caldara.","approx transfer fee min eyecatching summer business include arrival hakan <c3><a7>alhano<c4><9f>lu lucas biglia sign bonucci rival juve seem like impressive allone world good defender look new challenge year domestic european success turinthings go plan milan spend wind finish 6 bonucci make rossneri captain spend year expression read ive make huge mistake back go juve just one year princely sum one mattia caldara","leonardo bonucci juventus milan"
"24. Tanguy Ndombele (Lyon to Tottenham, 2019)","Approx transfer fee: £63mTanguy Ndombele was signed by Tottenham in hope of being the long-term successor to Mousa Dembele - a dynamic box-to-box midfielder who could run rings around opponents.While the Frenchman has had enough good moments in lilywhite to make a decent YouTube compilation, he's largely failed to adapt to the English game, with his fitness and work rate particularly unimpressive.He still has plenty of talent, but he'll have to put the hard yards in if he's ever going to fulfil his potential.","approx transfer fee mtanguy ndombele sign tottenham hope longterm successor mousa dembele dynamic boxtobox midfielder run ring around opponentswhile frenchman enough good moment lilywhite make decent youtube compilation hes largely fail adapt english game fitness work rate particularly unimpressivehe still plenty talent hell put hard yard hes ever go fulfil potential","tanguy ndombele lyon tottenham"
"23. Nicolas Pepe (Lille to Arsenal, 2019)","Approx transfer fee: £72mSocial media became unbearable the day Arsenal unveiled Nicolas Pepe as their new record signing. It was even worse a few weeks later when he dribbled past Virgil van Dijk and fooled people into thinking he was going to be a superstar.In the red of Arsenal, Pepe has looked a lot like an annoying five-a-side teammate, endlessly dribbling down dead ends, never knowing when to release the ball and barely contributing anything tangible to games.","approx transfer fee msocial medium become unbearable day arsenal unveil nicolas pepe new record sign even bad week late dribble past virgil van dijk fool people think go superstarin red arsenal pepe look lot like annoy fiveaside teammate endlessly dribble dead end never know release ball barely contribute anything tangible game","nicolas pepe lille arsenal"
"22. Mario Balotelli (AC Milan to Liverpool, 2014)","Approx transfer fee: £16mMuch like Rodwell, the wider symbolism here is more significant than the actual transfer fee.Mario Balotelli, once touted as one of the continent's top young talents, was signed by Liverpool to replace Barcelona-bound Luis Suarez, the man who had scored 31 times in 33 Premier League games in the 2013/14 Premier League season and almost dragged his teammates kicking and screaming to the title.Balotelli scored exactly one Premier League goal for the Reds as Brendan Rodgers' side collapsed into mediocrity.He was let go for free, after a loan back to Milan.","approx transfer fee mmuch like rodwell wide symbolism significant actual transfer feemario balotelli tout one continent top young talent sign liverpool replace barcelonabound luis suarez man score time premier league game premier league season almost drag teammate kick scream titlebalotelli score exactly one premier league goal red brendan rodgers side collapse mediocrityhe let go free loan back milan","mario balotelli ac milan liverpool"
"21. Lazar Markovic (Benfica to Liverpool, 2014)","Approx transfer fee: £20mLiverpool did some serious business in the summer of 2014.As well as landing Balotelli, the club gambled on up-and-coming Serbian winger Markovic who had impressed in the previous season's Europa League.~Markovic made over 30 appearances in his first season without really impressing but then completely fell off the map at Anfield.After four loan spells away which failed to boost his profile, he was given away for nothing to Fulham in January 2019.","approx transfer fee mliverpool serious business summer good land balotelli club gamble upandcoming serbian winger markovic impress previous season europa leaguemarkovic make appearance first season without really impress completely fall map anfieldafter four loan spell away fail boost profile give away nothing fulham january","lazar markovic benfica liverpool"
"20. Fernando Torres (Liverpool to Chelsea, 2011)","Approx transfer fee: £50mOn the face of it, this looked like an incredible piece of business for Chelsea, stealing one of the Premier League's most lethal strikers from rivals Liverpool on deadline day, but for whatever reason Torres' ill-fated spell with the Blues never reached the heights he had achieved at Anfield.In fairness, Torres did score 45 times for Chelsea, including the goal which confirmed their place in the 2012 Champions League final, but he never scored more than eight goals in a Premier League season at Stamford Bridge and was a shadow of the world class front man Liverpool and Spain had gotten in the years previously.","approx transfer fee mon face look like incredible piece business chelsea steal one premier league lethal striker rival liverpool deadline day whatever reason torres illfated spell blue never reach height achieve anfieldin fairness torres score time chelsea include goal confirm place champion league final never score eight goal premier league season stamford bridge shadow world class front man liverpool spain get year previously","fernando torres liverpool chelsea"
"19. Adrian Mutu (Parma to Chelsea, 2003)","Approx transfer fee: £16mWith just six goals in 27 Premier League appearances for Chelsea (four of which came in his first three games), Mutu never delivered on the potential he had shown in Serie A with Verona and Parma, while he was one of many to endure a difficult relationship with Jose Mourinho. But let's be honest, Mutu isn't on this list because he was a bad footballer.In September 2004, Mutu was banned from football for seven months after testing positive for cocaine. Chelsea sought compensation for a breach of contract and a long-winded legal battle ensued. In 2018, the European Court of Human Rights rejected Mutu's appeal against CAS 2015 ruling that meant he owed Chelsea €17m in damages.","approx transfer fee mwith just six goal premier league appearance chelsea four come first three game mutu never deliver potential show serie verona parma one many endure difficult relationship jose mourinho let honest mutu isnt list bad footballerin september mutu ban football seven month test positive cocaine chelsea seek compensation breach contract longwinded legal battle ensue european court human right reject mutus appeal cas rule mean owe chelsea be damage","adrian mutu parma chelsea"
"18. Shkodran Mustafi (Valencia to Arsenal, 2016)","Approx transfer fee: £35mOne of the better defenders in La Liga and a World Cup winner no less, Arsenal seemed to have exercised unusually shrewd judgement in signing Mustafi from Valencia in 2016.After a promising start, Mustafi became a by-word for comical defending as the toe-curling errors came thick and fast. As did the unflattering social media compilations.The German, who left for Schalke after having his contract mutually terminated in 2021, symbolised the poor recruitment that plagued Arsenal at the end of Arsene Wenger's tenure.","approx transfer fee mone good defender la liga world cup winner little arsenal seem exercise unusually shrewd judgement sign mustafi valencia promise start mustafi become byword comical defend toecurling error come thick fast unflattering social medium compilationsthe german leave schalke contract mutually terminate symbolise poor recruitment plague arsenal end arsene wengers tenure","shkodran mustafi valencia arsenal"
"17. Jese Rodriguez (Real Madrid to Paris Saint-Germain, 2016)","Approx transfer fee: €25mIn May 2016, Jesé Rodriguez was on the bench for Real Madrid in the Champions League final. In August 2017, he joined Stoke City on loan. His annus horribilis started with a €25m move to Paris Saint-Germain, and from there he was soon sent on loan to Las Palmas after six months of injuries and poor form.In total, Jese played just 18 times for PSG across four seasons before having his contract cancelled amid COVID lockdown breach scandal in December 2020.","approx transfer fee min may jes<c3><a9> rodriguez bench real madrid champion league final august join stoke city loan annus horribilis start be move paris saintgermain soon send loan las palmas six month injury poor formin total jese play just time psg across four season contract cancel amid covid lockdown breach scandal december","jese rodriguez real madrid paris saintgermain"
"16. Jackson Martinez (Atletico Madrid to Guangzhou Evergrande, 2016)","Approx transfer fee: €42mIn reality, Martinez could've made the list for two separate deals.Despite having seen the once prolific Colombian flounder at Atletico Madrid (where he scored just three times in 22 appearances) Guangzhou Evergrande decided this was the striker for them to go big on.At the height of the Chinese Super League's new spending power, Guangzhou paid €42m to bring Martinez to Asia - amazingly some €7m more than Atleti paid the year earlier before he flopped. Diego Simeone must've thought it was some sort of prank.Martinez, who was famously on a €12m deal, suffered horrendous luck with ankle injuries in China and made just 16 appearances in three seasons before his contract was cancelled.","approx transfer fee min reality martinez couldve make list two separate dealsdespite see prolific colombian flounder atletico madrid score just three time appearance guangzhou evergrande decide striker go big onat height chinese super league new spend power guangzhou pay be bring martinez asia amazingly be atleti pay year early flop diego simeone mustve think sort prankmartinez famously be deal suffer horrendous luck ankle injury china make just appearance three season contract cancel","jackson martinez atletico madrid guangzhou evergrande"
"15. Jonathan Woodgate (Newcastle United to Real Madrid, 2004)","Approx transfer fee: £13.5mSome players have their careers disrupted by injury; Jonathan Woodgate's career was one long injury disrupted by occasional periods of fitness. To the surprise of absolutely nobody, Woodgate got injured at the end of the 2003/04 season, but what was surprising was that this did not stop Real Madrid from signing him.Numerous injury complications meant that Woodgate didn't actually make his Real Madrid debut for over a year, but boy was it worth the wait. The former Newcastle star scored an own goal after 26 minutes and was sent off for a second bookable offence midway through the second half. After just nine La Liga appearances, Woodgate returned to England, having been named the worst signing of the 21st century in a Marca poll.","approx transfer fee msome player career disrupt injury jonathan woodgates career one long injury disrupt occasional period fitness surprise absolutely nobody woodgate get injure end season surprise stop real madrid sign himnumerous injury complication mean woodgate didnt actually make real madrid debut year boy worth wait former newcastle star score goal minute send 2 bookable offence midway 2 half just nine la liga appearance woodgate return england name bad sign st century marca poll","jonathan woodgate newcastle unite real madrid"
"14. Luka Jovic (Eintracht Frankfurt to Real Madrid, 2019)","Approx transfer fee: €60mYoung Serbian became one of the hottest forwards in 2018/19, scoring 27 goals at Frankfurt.Real Madrid paid big, in their last big spending spree pre pandemic, to bring him to the Bernabeu as cover/a long-term successor for Karim Benzema. In his first season, Jovic struggled with injuries and was given precious little chance to impress, scoring just twice in 27 outings.Then came the pandemic and a lockdown breach scandal that even involved the Serbian Prime Minister. A way back into Madrid's good books looks next to impossible now - as does being able to recoup much of that €60m outlay.","approx transfer fee myoung serbian become one hot forward score goal frankfurtreal madrid pay big last big spend spree pre pandemic bring bernabeu covera longterm successor karim benzema first season jovic struggle injury give precious little chance impress score just twice outingsthen come pandemic lockdown breach scandal even involve serbian prime minister way back madrids good book look next impossible now able recoup much be outlay","luka jovic eintracht frankfurt real madrid"
"13. Andy Carroll (Newcastle United to Liverpool, 2011)","Approx transfer fee: £35m The panic buy to end all panic buys?Carroll had scored 11 goals in 19 appearances for Newcastle in the 2010/11 season, catching the eye of Liverpool, who needed to replace the Chelsea-bound Torres.While Liverpool's other signing in the January window, Luis Suarez, was an instant hit, Carroll was such an obvious case of a square peg fitting a round hole.The injury-troubled target man scored just six Premier League goals in 44 appearances before West Ham took him off Liverpool's hands in 2013 - for close to £20m less than the Reds had paid two years earlier. Even in the inflated markets of 2019, Carroll is still the most expensive English striker ever.","approx transfer fee be panic buy end panic buyscarroll score goal appearance newcastle season catch eye liverpool need replace chelseabound torreswhile liverpools sign january window luis suarez instant hit carroll obvious case square peg fit round holethe injurytroubled target man score just six premier league goal appearance west ham take liverpools hand close be little red pay two year early even inflate market carroll still expensive english striker ever","andy carroll newcastle unite liverpool"
"12. Gaizka Mendieta (Valencia to Lazio, 2001)","Approx transfer fee: €48m There was a time when Valencia were considered one of the best teams in Europe, and Gaizka Mendieta was their beating heart. He was named Best Midfielder in Europe by UEFA two years on the trot, and when Lazio signed him in 2001, they made him the sixth most expensive player of all time with a deal worth an incredible sounding eight billion pesetas.In today's money, the deal would've been worth close to the €100m mark.However, after betting the farm on their man, Mendieta, who had been a regular goalscorer towards the end of his time at the Mestalla, failed to hit the target once in 31 appearances for the Biancocelesti, who offloaded him to Barcelona after just one season.","approx transfer fee be time valencia consider one good team europe gaizka mendieta beat heart name good midfielder europe uefa two year trot lazio sign make 6 expensive player time deal worth incredible sound eight billion pesetasin today money deal wouldve worth close be markhowever bet farm man mendieta regular goalscorer towards end time mestalla fail hit target appearance biancocelesti offload barcelona just one season","gaizka mendieta valencia lazio"
"11. Zlatan Ibrahimovic (Inter to Barcelona, 2010)","Approx transfer fee: £59m + Samuel Eto'oZlatan Ibrahimovic has scored goals everywhere he has played, and Barcelona was no different - in his defence, he found the net 21 times in his only full season at Camp Nou. But the problems were all off the pitch. Firstly, no-one seemed to understand why Barcelona spent big and traded Samuel Eto'o for the big Swede and his big ego.While Eto'o went on to win the treble at Inter, Zlatan was (allegedly) threatening to physically assault Pep Guardiola.Forced to play in the shadow of Lionel Messi, Ibrahimovic grew frustrated and aggro. As a result, he was sent back to Italy at the end of the season.","approx transfer fee be samuel etoozlatan ibrahimovic score goal everywhere play barcelona different defence find net time full season camp nou problem pitch firstly noone seem understand barcelona spend big trade samuel etoo big swede big egowhile etoo go win treble inter zlatan allegedly threaten physically assault pep guardiolaforced play shadow lionel messi ibrahimovic grow frustrate aggro result send back italy end season","zlatan ibrahimovic inter barcelona"
"10. Andriy Shevchenko (AC Milan to Chelsea, 2006)","Approx transfer fee: £30mIf ever there was a striker worth breaking the bank for, it was Andriy Shevchenko. A prolific goalscorer in Italy, he scored 173 goals during his first spell with AC Milan, surpassing the 25-goal mark in six of his eight seasons at San Siro, and won the Ballon d'Or in 2004.Signing the Ukrainian became a pet project for Chelsea owner Roman Abramovich, who got his man in 2006 - regardless of what Mourinho actually wanted.Alas, Shevchenko's ageing limbs and the pace of English football did not agree with one another. He found the net just nine times in the Premier League before retracing his steps to Milan and Dynamo Kiev as his brilliant career ended with a whimper.","approx transfer fee mif ever striker worth break bank andriy shevchenko prolific goalscorer italy score goal first spell ac milan surpass goal mark six eight season san siro win ballon dor sign ukrainian become pet project chelsea owner roman abramovich get man regardless mourinho actually wantedalas shevchenkos age limb pace english football agree one another find net just nine time premier league retrace step milan dynamo kiev brilliant career end whimper","andriy shevchenko ac milan chelsea"
"9. Danny Drinkwater (Leicester to Chelsea, 2017)","Approx transfer fee: £35mContinuing the run of Chelsea flops, it is Drinkwater, whose £35m move to Stamford Bridge in 2017 raised eyebrows even before a ball was kicked in anger.The former Premier League winner with Leicester made just 12 league appearances and found himself rather unloved by Antonio Conte and latterly Maurizio Sarri.Amid a series of uninspiring loan spells, Drinkwater's on-field nadir came with a brawl-sparking red card in a PL2 game against Spurs in 2020.Off the field, unsavoury incidents including a drink driving charge and a nightclub fight that left him with ligament damage have coloured a once respected career.He joined Reading on loan in summer 2021.","approx transfer fee mcontinuing run chelsea flop drinkwater whose be move stamford bridge raise eyebrow even ball kick angerthe former premier league winner leicester make just league appearance find rather unloved antonio conte latterly maurizio sarriamid series uninspiring loan spell drinkwaters onfield nadir come brawlsparking red card pl game spur field unsavoury incident include drink drive charge nightclub fight leave ligament damage colour respect careerhe join read loan summer","danny drinkwater leicester chelsea"
"8. Alexis Sanchez (Arsenal to Manchester United, 2018)","Approx transfer fee: Swap with Henrikh MkhitaryanHow can a deal that involved no real transfer fee be so bad, you ask? Well...Alexis Sanchez arrived at Manchester United as perhaps the Premier League's biggest talent, ripped from rivals Arsenal with his contract running down. To add a cherry on top, United even beat off competition from Man City to land the Chilean. In order to convince Sanchez to pick red over blue, United stumped up a contract worth depressingly close to £500k a week before plonking their new forward in front of the piano for what would become one of the most infamous announcement videos of all time.Sanchez's contract became an albatross around his neck as his form dived off a cliff.In total, he scored three Premier League goals in 32 outings and generally stunk Old Trafford up, before being loaned out to Inter where he now resides permanently, having had his whopper of a United deal paid off early.","approx transfer fee swap henrikh mkhitaryanhow can deal involve real transfer fee bad ask wellalexis sanchez arrive manchester unite perhaps premier league big talent rip rival arsenal contract run add cherry top unite even beat competition man city land chilean order convince sanchez pick red blue unite stump contract worth depressingly close k week plonk new forward front piano become one infamous announcement video timesanchezs contract become albatross around neck form dive cliffin total score three premier league goal outing generally stink old trafford loan inter now reside permanently whopper unite deal pay early","alexis sanchez arsenal manchester unite"
